%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.1312495        0.1672184        1.1212904        1.8727743        2.1735247        2.8158736        3.6616411        4.4610016
      0.1318745        0.3569935        1.1171721        1.8658961        2.1655419        2.8055317        3.6481928        4.4446175
      0.1324995        0.5574522        1.1130271        1.8589730        2.1575071        2.7951222        3.6346568        4.4281265
      0.1331245        0.6059833        1.1088526        1.8520008        2.1494152        2.7846389        3.6210248        4.4115185
      0.1337495        0.5378260        1.1046463        1.8449755        2.1412616        2.7740757        3.6072888        4.3947839
      0.1343745        0.5394886        1.1004058        1.8378930        2.1330417        2.7634266        3.5934412        4.3779132
      0.1349995        0.7934779        1.0961288        1.8307496        2.1247512        2.7526859        3.5794744        4.3608975
      0.1356245        1.4505582        1.0918132        1.8235417        2.1163857        2.7418482        3.5653815        4.3437280
      0.1362495        2.4770033        1.0874568        1.8162657        2.1079413        2.7309081        3.5511556        4.3263964
      0.1368745        3.5234341        1.0830577        1.8089184        2.0994141        2.7198608        3.5367901        4.3088949
      0.1374995        4.2028136        1.0786140        1.8014966        2.0908004        2.7087015        3.5222790        4.2912159
      0.1381245        4.3740946        1.0741240        1.7939972        2.0820967        2.6974256        3.5076164        4.2733523
      0.1387495        4.0131868        1.0695858        1.7864177        2.0732999        2.6860291        3.4927968        4.2552975
      0.1393745        3.1799160        1.0649981        1.7787552        2.0644070        2.6745080        3.4778152        4.2370454
      0.1399995        2.2345865        1.0603593        1.7710075        2.0554151        2.6628587        3.4626669        4.2185901
      0.1406245        1.5932999        1.0556681        1.7631724        2.0463217        2.6510779        3.4473477        4.1999266
      0.1412495        1.2389698        1.0509234        1.7552478        2.0371245        2.6391627        3.4318537        4.1810502
      0.1418745        0.9016852        1.0461242        1.7472322        2.0278217        2.6271105        3.4161816        4.1619566
      0.1424995        0.5505107        1.0412695        1.7391239        2.0184113        2.6149190        3.4003283        4.1426425
      0.1431245        0.3895670        1.0363587        1.7309218        2.0088919        2.6025864        3.3842915        4.1231048
      0.1437495        0.6174013        1.0313910        1.7226248        1.9992625        2.5901111        3.3680692        4.1033411
      0.1443745        1.2677868        1.0263660        1.7142321        1.9895221        2.5774921        3.3516599        4.0833495
      0.1449995        2.1062664        1.0212835        1.7057433        1.9796701        2.5647285        3.3350627        4.0631290
      0.1456245        2.8466821        1.0161433        1.6971582        1.9697062        2.5518200        3.3182770        4.0426789
      0.1462495        3.3252676        1.0109454        1.6884767        1.9596306        2.5387666        3.3013030        4.0219994
      0.1468744        3.3118466        1.0056900        1.6796992        1.9494435        2.5255689        3.2841413        4.0010911
      0.1474994        2.7363366        1.0003775        1.6708262        1.9391455        2.5122276        3.2667928        3.9799553
      0.1481244        1.9989894        0.9950082        1.6618585        1.9287377        2.4987440        3.2492593        3.9585941
      0.1487494        1.4743543        0.9895830        1.6527973        1.9182214        2.4851197        3.2315428        3.9370100
      0.1493744        1.1276013        0.9841025        1.6436439        1.9075980        2.4713567        3.2136460        3.9152063
      0.1499994        0.8761377        0.9785678        1.6343998        1.8968694        2.4574575        3.1955721        3.8931867
      0.1506244        0.8173104        0.9729800        1.6250670        1.8860379        2.4434248        3.1773246        3.8709557
      0.1512494        0.9743636        0.9673402        1.6156475        1.8751057        2.4292619        3.1589078        3.8485183
      0.1518744        1.1872408        0.9616500        1.6061438        1.8640757        2.4149722        3.1403260        3.8258800
      0.1524994        1.4521641        0.9559109        1.5965582        1.8529508        2.4005595        3.1215844        3.8030470
      0.1531244        2.0370547        0.9501244        1.5868937        1.8417343        2.3860281        3.1026884        3.7800258
      0.1537494        2.9032485        0.9442924        1.5771532        1.8304295        2.3713824        3.0836438        3.7568237
      0.1543744        3.4729861        0.9384169        1.5673399        1.8190403        2.3566273        3.0644568        3.7334481
      0.1549994        3.4396009        0.9324998        1.5574571        1.8075704        2.3417677        3.0451340        3.7099070
      0.1556244        3.2000698        0.9265431        1.5475084        1.7960240        2.3268089        3.0256823        3.6862089
      0.1562494        3.0927006        0.9205493        1.5374974        1.7844054        2.3117566        3.0061090        3.6623625
      0.1568744        2.9209460        0.9145204        1.5274280        1.7727190        2.2966165        2.9864213        3.6383769
      0.1574994        2.4932296        0.9084589        1.5173042        1.7609693        2.2813944        2.9666272        3.6142616
      0.1581244        2.0027942        0.9023672        1.5071299        1.7491611        2.2660964        2.9467344        3.5900261
      0.1587494        1.6897621        0.8962478        1.4969093        1.7372992        2.2507289        2.9267512        3.5656803
      0.1593744        1.4846589        0.8901032        1.4866466        1.7253884        2.2352982        2.9066857        3.5412344
      0.1599994        1.1647235        0.8839360        1.4763462        1.7134338        2.2198106        2.8865463        3.5166985
      0.1606244        0.7406305        0.8777488        1.4660123        1.7014404        2.2042727        2.8663415        3.4920829
      0.1612494        0.4264200        0.8715442        1.4556494        1.6894133        2.1886912        2.8460799        3.4673981
