%Data filename = Scores_age_AC_500-c1-c3
%Multiplication factor for 99.99% Chi2 CL = 3.97845
%Multiplication factor for  99.9% Chi2 CL = 3.26556
%Multiplication factor for   99% Chi2 CL = 2.51128
%Multiplication factor for   95% Chi2 CL = 1.93841
%Multiplication factor for   90% Chi2 CL = 1.67020
%     Frequency       Real_Power   SWA_background        90%Chi2CL        95%Chi2CL        99%Chi2CL      99.9%Chi2CL     99.99%Chi2CL
      0.0887497        0.7638984        1.5752153        2.6309178        3.0534191        3.9558061        5.1439603        6.2669209
      0.0893747        0.9382902        1.5612642        2.6076167        3.0263761        3.9207710        5.0984021        6.2114170
      0.0899997        1.1173501        1.5476939        2.5849518        3.0000713        3.8866923        5.0540876        6.1574284
      0.0906247        1.4240839        1.5344978        2.5629117        2.9744918        3.8535532        5.0109949        6.1049283
      0.0912497        1.9431183        1.5216690        2.5414851        2.9496243        3.8213364        4.9691017        6.0538895
      0.0918747        2.5728986        1.5092004        2.5206601        2.9254550        3.7900243        4.9283848        6.0042838
      0.0924997        3.0106194        1.4970849        2.5004247        2.9019700        3.7595987        4.8888206        5.9560826
      0.0931247        2.9550564        1.4853149        2.4807666        2.8791549        3.7300411        4.8503851        5.9092564
      0.0937496        2.5284107        1.4738830        2.4616731        2.8569953        3.7013325        4.8130537        5.8637753
      0.0943746        2.3010456        1.4627816        2.4431316        2.8354761        3.6734537        4.7768013        5.8196087
      0.0949996        2.6469945        1.4520028        2.4251289        2.8145823        3.6463851        4.7416025        5.7767258
      0.0956246        3.3472742        1.4415388        2.4076519        2.7942987        3.6201069        4.7074315        5.7350950
      0.0962496        4.0714102        1.4313814        2.3906871        2.7746095        3.5945990        4.6742621        5.6946845
      0.0968746        4.7074246        1.4215227        2.3742212        2.7554993        3.5698411        4.6420679        5.6554621
      0.0974996        4.8684953        1.4119545        2.3582403        2.7369521        3.5458126        4.6108223        5.6173954
      0.0981246        4.1426646        1.4026685        2.3427309        2.7189520        3.5224929        4.5804983        5.5804515
      0.0987496        3.1209562        1.3936565        2.3276791        2.7014830        3.4998611        4.5510690        5.5445975
      0.0993746        2.7126807        1.3849101        2.3130709        2.6845289        3.4778965        4.5225072        5.5098005
      0.0999996        2.6884588        1.3764211        2.2988926        2.6680736        3.4565782        4.4947857        5.4760273
      0.1006246        2.2939271        1.3681810        2.2851301        2.6521010        3.4358851        4.4678773        5.4432446
      0.1012496        1.5256247        1.3601816        2.2717695        2.6365949        3.4157964        4.4417549        5.4114194
      0.1018746        0.8931457        1.3524146        2.2587971        2.6215391        3.3962912        4.4163912        5.3805187
      0.1024996        0.6967245        1.3448716        2.2461989        2.6069178        3.3773488        4.3917592        5.3505094
      0.1031246        0.8521977        1.3375446        2.2339612        2.5927149        3.3589484        4.3678322        5.3213589
      0.1037496        1.0257888        1.3304252        2.2220704        2.5789145        3.3410696        4.3445834        5.2930347
      0.1043746        0.9850269        1.3235053        2.2105130        2.5655011        3.3236920        4.3219863        5.2655046
      0.1049996        0.8224561        1.3167771        2.1992755        2.5524589        3.3067955        4.3000148        5.2387366
      0.1056246        0.7426314        1.3102325        2.1883447        2.5397728        3.2903602        4.2786430        5.2126992
      0.1062496        0.8236431        1.3038637        2.1777076        2.5274275        3.2743665        4.2578454        5.1873613
      0.1068746        1.0267826        1.2976631        2.1673513        2.5154080        3.2587949        4.2375968        5.1626923
      0.1074996        1.3020033        1.2916229        2.1572631        2.5036998        3.2436264        4.2178724        5.1386619
      0.1081246        1.6601429        1.2857359        2.1474306        2.4922882        3.2288424        4.1986478        5.1152405
      0.1087496        2.1038790        1.2799946        2.1378414        2.4811592        3.2144243        4.1798992        5.0923989
      0.1093746        2.4162148        1.2743918        2.1284838        2.4702987        3.2003542        4.1616031        5.0701087
      0.1099996        2.2256822        1.2689206        2.1193458        2.4596932        3.1866145        4.1437365        5.0483417
      0.1106246        1.5548054        1.2635741        2.1104160        2.4493294        3.1731878        4.1262771        5.0270707
      0.1112496        0.9599283        1.2583454        2.1016832        2.4391942        3.1600573        4.1092027        5.0062689
