depth	min	max	median	mean
37.8	1618.8	1783.4	1732	1718.5
37.9	1617.9	1782.7	1731.2	1717.6
38	1616.7	1781.9	1730.4	1716.7
38.1	1615.4	1781.2	1729.8	1715.9
38.2	1614.9	1780.3	1728.9	1715
38.3	1614	1779.4	1728	1714.1
38.4	1612.5	1778.4	1727.5	1713.2
38.5	1611.3	1777.3	1726.8	1712.3
38.6	1610.3	1776.3	1726	1711.5
38.7	1609.5	1775.5	1725.3	1710.6
38.8	1608.1	1774.7	1724.5	1709.7
38.9	1606.8	1773.6	1723.9	1708.8
39	1605.6	1772.4	1723.2	1708
39.1	1604.6	1771.7	1722.2	1707.1
39.2	1603.4	1770.9	1721.3	1706.2
39.3	1602.4	1770.2	1720.5	1705.3
39.4	1601.2	1769.5	1719.8	1704.5
39.5	1600.1	1768.7	1719.1	1703.6
39.6	1599.3	1767.9	1718.4	1702.7
39.7	1598.4	1766.7	1717.5	1701.8
39.8	1597	1766.1	1716.6	1701
39.9	1596.2	1765.3	1715.9	1700.1
40	1594.9	1764.6	1715.1	1699.2
40.1	1593.5	1763.9	1714.2	1698.3
40.2	1592.3	1763.2	1713.5	1697.5
40.3	1591.1	1762.5	1712.7	1696.6
40.4	1590	1761.7	1712	1695.8
40.5	1589	1760.8	1711.3	1694.9
40.6	1588.1	1760	1710.6	1694.1
40.7	1587.3	1759.1	1709.9	1693.2
40.8	1586	1758.1	1709.1	1692.4
40.9	1584.9	1757.4	1708.3	1691.5
41	1583.3	1756.8	1707.6	1690.7
41.1	1582.1	1756.2	1706.9	1689.8
41.2	1580.9	1755.6	1706	1689
41.3	1580.2	1754.9	1705.4	1688.1
41.4	1579.5	1753.8	1704.7	1687.3
41.5	1578.6	1752.5	1704	1686.4
41.6	1577.6	1751.4	1703.2	1685.6
41.7	1576.6	1750.3	1702.5	1684.7
41.8	1575.3	1749.9	1701.8	1683.9
41.9	1574.8	1749.1	1701.1	1683
42	1574	1748.3	1700.3	1682.2
42.1	1572.4	1747.4	1699.6	1681.3
42.2	1571.2	1746.5	1698.8	1680.5
42.3	1570.5	1745.7	1698.1	1679.6
42.4	1569.5	1745.1	1697.4	1678.7
42.5	1568.8	1744.4	1696.8	1677.9
42.6	1568	1743.2	1696.1	1677
42.7	1567.3	1742.7	1695.3	1676.2
42.8	1566.5	1742	1694.6	1675.3
42.9	1565.5	1741.1	1693.9	1674.4
43	1564.6	1740.4	1693.1	1673.6
43.1	1563.5	1740	1692.4	1672.7
43.2	1562.5	1739.2	1691.6	1671.9
43.3	1561.4	1738.5	1690.9	1671
43.4	1560.6	1737.3	1690	1670.1
43.5	1559.4	1736.2	1689.2	1669.3
43.6	1558.2	1735.4	1688.5	1668.4
43.7	1557.1	1734.9	1687.7	1667.6
43.8	1556.1	1734.2	1687.1	1666.7
43.9	1554.7	1733.2	1686.5	1665.8
44	1553.7	1732.4	1685.8	1665
44.1	1552.8	1731.3	1684.9	1664.1
44.2	1551.8	1730.3	1684	1663.3
44.3	1550.9	1729.4	1683.2	1662.4
