Geotek MSCL 7.9 - Poso22.out created at 18:39:54 on 06.03.2023.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Processing Parameters,,,,,,,,,
,,,,,,,,,
CT,RCT=5.9,W=0,,,,,,,
PWAmp,A=1,B=0,,,,,,,
PWVel,PTO=21.7,,,,,,,,
Den1,A=0,B=-.0588191,C=10.07426,,,,,,
MS1,A=1,B=0,Den=0,LD=7,,,,,
FP,MGD=2.75,WD=1.026,,,,,,,
,,,,,,,,,
,,,,,,,,,
SB DEPTH,SECT NUM,SECT DEPTH,CT,PWAmp,PWVel,Den1,MS1,Imp,FP
cm,,cm,cm,,m/s,g/cc,SI x 10^-5,,
,,,,,,,,,
1412.6,20,41.4,5.854,0.6065,1326.535,1.3228,5.2275,1754.683,0.8279
1413.1,20,41.9,5.855,0.6147,1318.694,1.3324,5.35,1757.014,0.8223
1413.6,20,42.4,5.85,0.6699,1322.333,1.3543,5.3695,1790.891,0.8095
1414.1,20,42.9,5.85,0.6211,1325.629,1.3223,5.4552,1752.891,0.8281
1414.6,20,43.4,5.849,0.5473,1325.703,1.3268,5.5437,1758.924,0.8255
1415.1,20,43.9,5.844,0.5757,1330.298,1.3345,5.5173,1775.296,0.821
1415.6,20,44.4,5.844,0.6259,1331.511,1.3468,5.5173,1793.222,0.8139
1416.1,20,44.9,5.845,0.5363,1328.711,1.3491,5.6006,1792.511,0.8126
1416.6,20,45.4,5.844,0.7543,1328.182,1.3215,5.557,1755.247,0.8286
1417.1,20,45.9,5.844,0.5239,1335.466,1.3175,5.557,1759.461,0.8309
1417.6,20,46.4,5.85,0.5823,1331.361,1.2966,5.5872,1726.177,0.8431
1418.1,20,46.9,5.85,0.5617,1336.226,1.3194,5.5014,1763.036,0.8298
1418.6,20,47.4,5.849,0.4043,1228.266,1.3343,5.5437,1638.922,0.8211
1419.1,20,47.9,5.85,0.3888,1222.826,1.3271,5.541,1622.861,0.8253
1419.6,20,48.4,5.85,0.7889,1332.574,1.3351,5.5872,1779.093,0.8207
1420.1,20,48.9,5.844,0.5595,1339.445,1.2946,5.557,1734.082,0.8442
1420.6,20,49.4,5.842,0.6663,1342.063,1.3228,5.5624,1775.236,0.8279
1421.1,20,49.9,5.848,0.397,1149.371,1.3093,5.5067,1504.84,0.8357
1421.6,20,50.4,5.847,0.58,1334.932,1.3243,5.5028,1767.903,0.8269
1422.1,20,50.9,5.852,0.6361,1338.824,1.3192,5.4039,1766.118,0.83
1422.6,20,51.4,5.847,0.7508,1342.286,1.3222,5.3772,1774.791,0.8282
1423.1,20,51.9,5.847,0.4995,1348.167,1.3147,5.4169,1772.425,0.8325
1423.6,20,52.4,5.847,0.5709,1229.912,1.3238,5.3772,1628.108,0.8273
1424.1,20,52.9,5.847,0.3303,1137.106,1.3445,5.3772,1528.85,0.8152
1424.6,20,53.4,5.852,0.639,1331.816,1.3203,5.45,1758.414,0.8293
1425.1,20,53.9,5.852,0.4544,1325.181,1.3159,5.5357,1743.779,0.8319
1425.6,20,54.4,5.853,0.5481,1327.211,1.3284,5.5791,1763.058,0.8246
1426.1,20,54.9,5.861,0.4884,1331.44,1.3227,5.5971,1761.122,0.8279
1426.6,20,55.4,5.862,0.3451,1223.8,1.326,5.6403,1622.718,0.826
1427.1,20,55.9,5.867,0.3685,1316.652,1.3083,5.7577,1722.564,0.8363
1427.6,20,56.4,5.864,0.6847,1324.599,1.3389,5.7201,1773.46,0.8185
1428.1,20,56.9,5.858,0.6211,1328.646,1.3211,5.822,1755.25,0.8288
1428.6,20,57.4,5.857,0.6194,1327.817,1.3254,5.7788,1759.836,0.8264
1429.1,20,57.9,5.852,0.6993,1319.802,1.3403,5.7993,1768.865,0.8177
1429.6,20,58.4,5.852,0.5675,1326.683,1.3172,5.7993,1747.545,0.8311
1430.1,20,58.9,5.856,0.3517,1327.59,1.3161,5.6961,1747.289,0.8317
1430.6,20,59.4,5.857,0,1326.914,1.299,5.6999,1723.686,0.8416
1431.1,20,59.9,5.856,0.33,1212.925,1.315,5.7421,1594.973,0.8324
1431.6,20,60.4,5.858,0.5284,1322.348,1.322,5.6906,1748.204,0.8283
1432.1,20,60.9,5.856,0.6458,1332.423,1.3329,5.7881,1776.036,0.822
1432.6,20,61.4,5.858,0.4155,1339.584,1.3474,5.868,1804.993,0.8136
1433.1,20,61.9,5.863,0,802.0519,1.3244,5.9851,1062.23,0.8269
1433.6,20,62.4,5.868,0.3302,1217.933,1.3442,6.0165,1637.098,0.8155
1434.1,20,62.9,5.873,0.558,1328.132,1.3192,6.087,1752.134,0.8299
